"Filtering Pedestals","过滤基座"
"Shrines do not need an Element Container, they instead accept element directly via Element Pipes.","神龛不需要元素容器，而是通过元素导管直接接受元素。"
"&bPowered Anvil&r - Will repair your items with Energy","&b能量铁砧&r——用能量修复你的物品"
"Filters Made for Enchantments","过滤附魔的过滤器"
"The &bGem Crystallizer&r will use a &6Pure Crystal&r to infuse an element into a Diamond, creating an &6Elemental Gem&r.","&b宝石结晶器&r将使用&6至纯水晶&r为钻石注入元素，制作储&6元素宝石&r"
"Animals can spawn on &6grass that can see daylight&r, if it's &6at least 24 blocks away&r. Where do they come from? Who knows!","&624格以外&r，动物可以生成在&6露天的草方块&r上。它们从哪来？谁知道呢！"
"&bHammers&r can crush blocks into finer blocks.","&b锤子&r可以将方块粉碎成更细的方块。"
"These &bConversion Upgrades&r can be used to &6upgrade a Chest's tier&r.","&b转换升级&r可用于&6提升箱子等级&r。"
"Observe an Amethyst Golem","观察紫晶傀儡"
"If you have no yet obtained end stone now would be a good time to summon a possessed endermite. They drop endstone when killed which you can convert to endstone brick and place under a material generator pedestal for more end stone.","如果您还没有获得末地石，现在正是召唤被附身的末影螨的好时机。它们被击杀后会掉落末地石，您可以将其转化为末地石砖，然后放在材料生产的基座下，以获得更多的末地石"
"Transport Upgrades","运输升级"
"Air pressure also takes time to build up and change, it isnt transfered instantly. Air pressure also &6relies on a closed system&r, it will escape from open pipe connections, which will lower the pressure in the system. Right clicking on a connection with a &6Pneumatic Wrench&r will close that section.","气压的产生和变化也需要时间，它不是即时传输的。气压需要&6依赖于一个封闭系统&r，它将从敞开的管道连接处溢出，从而降低系统中的压力。使用&6气动扳手&r右击可以封闭管道"
"Factories","工厂"
"Make a Thermal Evaporation Chamber","制作热力蒸馏塔"
"TIP: Bigger is not always better, at least a first. It can take quite a while to fully charge a large pressure chamber. It may be more adventageous to start with a smaller 3x3 until you can produce pressure fast enough. ","提示：并不是越大越好，至少第一次不是。给大型压力室充满气需要相当长的时间。从较小的3x3开始可能更会容易，直到你能足够快地产生压力"
"Finally, you can optionally name the spell, then click &6Create&r. Now, you can cast the spell by right-clicking the Book!","最后，你可以随意命名法术，然后单击&6制作&r。现在你就可以通过右击本书释放法术了！"
"Precision Budding","精准锻造"
"DML Predictions","深度怪物学习预测产物"
"You can set it to charge your hotbar, curio, armor, and hand slots.","你可以设置控制器给快捷栏、饰品、护甲和手持栏充电。"
"These &bBlock Manipulation Upgrades&r can &6break and place blocks&r, either in a specific location or in an area.","这些&b方块操作升级&r会在特定位置或区域内&6破坏和放置方块&r"
"Random Rune","随机符文"
"Feed Liquid Force, stress and mana into the Liquid Crystalizer to make &bForce Crystals&r. You can now use these with the Bees or you can proceed to the next stage of making Force-Infused biodiesel. ","将液体力量、应力和魔力输入流体结晶器以制作&b力量宝石&r。你现在可以将宝石用于蜜蜂，或进入下一阶段——制作力量灌注生物柴油。"
"The &bMob Slaughter Factory&r kills mobs, &cdestroying their drops&r and instead making &6Meat&r and &6Pink Slime&r.","&b屠宰场&r会杀死生物，&c销毁他们的掉落物&r，然后生成&6肉汤&r和&6粉色史莱姆液&r"
"They can even be &6enchanted&r to last longer!","它们甚至可以被&6附魔&r以持续更久！"
"Farming Upgrades","农业升级"
"A &bSifter&r and &bMesh&r will allow you to get infinite resources from blocks like Sand and Gravel.","&b动力筛子&r和&b筛网&r将让您从沙子和砂砾等方块中获得无限的资源"
"• In offhand, sneak right-click to cycle through the types","• 在副手持有时，潜行右击可循环浏览类型"
"Only those as powerful as vazkii can wield such a sword","只有像Vazkii这样强大的人才能使用这样一把剑"
"With this new Technology, creating &bEthanol&r is much more efficient.","有了这种新的科技，制作&b乙醇&r的效率更高了。"
"In essence, it's a &6double chest you can wear&r on your back. Access it with &6control+e&r.","本质上，这是一个&6可穿戴的大箱子&。使用&6CTRL+E&r来访问它"
"Visit the End","造访末地"
"Certain tool parts require you &6have a specific tool, of a specific level, in your inventory&r. For example, to modify a Stone Hammer (which is a tier 2 Hammer) so it's made of Iron instead (a tier 3 Hammer material), you need to have another tier 2 Hammer in your inventory.","某些工具零件需要&6在物品栏中备有一个特定等级的特殊工具&r才能制作。例如，要把石锤（2级）改到到铁锤（3级），那你需要在物品栏中备有另一个2级锤子才能做到。"
"McQuack","MC夸克"
"Amber waves of grain","金色的麦浪"
"Upgrades are installed by &6right-clicking while held in the offhand&r.","&6副手持有升级右击基座&r安装升级"
"Surprisingly butter-proof...","令人惊叹的黄油防御……"
"Fun Fact for Water Shards:","水元素碎片的有趣事实："
"The &bDissolution Chamber&r takes FE, a liquid and several items and makes them into something new. ","&b溶解成型机&r将FE、液体和几个物品制成新的东西。"
"To summon a &6Starbuncle&r, use a &bStarbuncle Charm&r on the ground. ","要召唤一只&6星宝石兽&r，请在地上使用&b星宝石兽护符&r。"
"Hammers","锤子"
"&bString&r can be either &6harvested from Flax&r, or found on your island. Bonemeal will allow the flax to grow much faster.","&b线&r可以&6从亚麻&r中收获，也可以在你的岛上找到。骨粉可以让亚麻生长得更快。"
"Quarry and Lumber Bees work as &6perpetual resource generators&r for Stone and Wood style blocks.","石料和木场蜜蜂的工作是石头和木头的&6资源的不断生产&r"
"Placing &6Lapis&r or &6Amethyst&r in the Imbuement Chamber will create &bSource Gems&r, a powerful source of magic.","在灌注室中放置&6青金石&r或&6紫水晶&r可以制作&b魔源宝石&r。是一个强大的魔力来源。"
"Equipment Tomes","装备宝典"
"Draconic Predictions","神龙预测"
"Machine upgrades","机器升级"
"There are two types of &bBroom&r. Willow is slower and more precise, and Mahogany is faster.","有两种&b扫帚&r。柳木更慢更精准，桃花心木更快。"
"Get Crushed End Stone","得到粉碎末地石"
"Make a Crusher","做个粉碎机"
"Khakis not available","Khakis不可用"
"The next step is to &breach the End&r!","下一阶段是&b到达末地&r！"
"There are several ways to get Blackstone, the easiest being a &6Material Generator Pedestal&r on a Block of Coal.","有几种获取黑石的方法，最简单的方法是在煤块上安装&6材料生成基座&r。"
"&bTrash Cans&r delete anything that enters them.","所有输入&b垃圾桶&r的东西都会被删除。"
"It Is The End Of The Beginning. ","这是开始的结束。"
"Right-click the Table with a &6Spell Book&r to open its GUI, then &6click the Glyph you want to craft&r.","用&6法术书&r右击工作台来打开GUI，然后&6单击你想制作的魔符&r。"
"Follow the nether brick road","跟随下界砖路"
"There are many ways to collect and use it, but it is always stored in &bSource Jars&r. ","有许多办法收集并使用它，但它只能被存储在&b魔源罐&r中。"
"Endless book of spells","无尽法术书"
"• &6Bring a Launch Pad&r with you! You can't launch without one.","• 记得&6带上发射台&r！没有发射台，火箭就无法发射"
"Get to work!","开始工作！"
"Various other Spores can be obtained from &6Crushed Netherrack&r, once you're able to supply it.","如果你供应得起，各种其他孢子可以从&6粉碎下界岩&r中获取。"
"Tier 1 adds 256 slots.","1级增加了256格"
"Backpack","精妙背包"
"&6Manasteel Mesh&r upgrades into an &bSpringaline Infused Desh Mesh&b using Springaline Desh Alloy.","使用春涌戴斯合金将&6魔力钢筛网&r升级为&b春涌戴斯筛网&b。"
"Sourcelinks","魔源通道"
"It's not a fish, it's a hammer","这不是鱼，是锤子"
"Rather, to be more accurate, they are &ctier 0 and 1&r. However, using the same material for both Heads increases the level by one.","精确的来说，它们实际上是&c第0级和1级&r。如果你让锤子的两头都使用相同的材料，那么锤子就可以升1级。"
"At least it's not research!","至少它无需研究！"
"Place an &bElement Evaporator&r directly on an &bElement Container&r and then insert Elemental Shards.","将&b元素容器&r放在&b元素蒸馏器&r上，然后插入元素碎片"
"The &bAlchemy Catalyst&r is placed under the Mana Pool, and &6adds some recipes for throwing items in&r.","将&b炼金催化器&放置于魔力池下方，&6添加一些投掷物品的配方&r"
"Power them with a Redstone Signal to turn them on!","它们可以用红石信号激活！"
"Install a Storage Module by inserting it into the &6top left slot on the bottom left&r, then click the L button to lock it. If removed, &6the items will stay in the Storage Module&r item, not the block.","将存储模块插入&6左下角的插槽&r，然后点击L键将其锁定。如果移除，&6物品将留在存储模块中&r而不是模块化存储器"
"Sky High Delights","天高任鸟飞"
"Give it Water, either through pipes or Buckets, and provide it with FE power.","通过管道或桶来给它水，并为它提供FE能量"
"When making Primitive Slurry, make sure the Blaze Burner is lit &bbefore&r putting the Gravel in, or it will just make flint instead of Primitive Slurry.","在制作基浆时，确保&b放沙砾之前&r烈焰人燃烧室处于燃烧状态，不然会做出一堆燧石。"
"Storage Upgrades","存储升级"
"Bringing Home The Bacon","将培根带回家"
"And I'll put it in a pancake","然后我会把它放到煎饼里"
"Take it to the limit!","发挥到极致！"
"Either when used alone, or when part of a contraption, the &bMechanical Saw&r will &6cut down trees in front of it&r.","不论是单独使用，还是作为动态结构的一部分使用，&b动力锯&r都能&6砍掉其前方的整棵树&rr"
"Using a Thermal Evaporation tower you'll need to create ultramafic lava using lava. This super heated lava is useful for several high end crafting processes.","熔岩可以通过热力蒸馏塔制作为超基熔岩。这种过热的熔岩在一些先进的合成工艺上非常有用。"
"The &bImbuement Chamber&r will unlock the path towards catalyzing metals from raw materials. You will need to obtain various mob drops and imbue them with &dSource&r to convert them to something more beneficial. &dSource&r will generate on its own over time in the chamber but later you can accelerate it with a vitalic sourcelink.","&b灌注室&r会解锁把原料变成催化金属的途径。你需要获得各种生物掉落物，并给它们灌注&d魔源&r来将其转化为更有用的东西。&d魔源&r会随着时间的推移在里面自动生成，但之后你可以用生死魔源通道加速它。"
"For Upgrades that &btransfer multiple types&r (items and fluids, etc):","用于&b传输多种类型&r的升级（物品和流体等）："
"One Crystal take 1000units of element. Shard gives 250units and Powerful Shards gives 2500units.","一个水晶包含1000个单位的元素。碎片提供250个单位，高能碎片提供2500个单位。"
"(needed for an &6Aqueous Accumulator&f), ","（&6蓄水器&r所需）"
"These rock","这些石子"
"The &bCorporea Crystal Cube&r can be right-clicked with an item, and it will &6display the amount of that item is in the network&r.","&b多媒体水晶魔方&r可以用物品右击，它会&6显示该物品在网络中的数量&r"
"&bDiamond&r - Do increased Damage","&b钻石&r——增加钉刺伤害"
"One of the Products gained is the &b{item.immersiveengineering.redstone_acid_bucket}&r","获得的其中一种产物是&b{item.immersiveengineering.redstone_acid_bucket}&r"
"Processing Ethanol with Sulfur Dust will give you Ethelyne in a Processing Plant.","在加工机中用硫粉处理乙醇可以得到乙烯。"
"[\""\"",\""Endermite                       \"",{\""text\"":\""[ Toggle ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:endermite\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Toggles the Endermite Event. Budding Amethysts sometimes spawn possesed Endermites.\""]}}]","[\""\"",\""末影螨　　　　　　　　　　　　　　　\"",{\""text\"":\""[ 开关 ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:endermite\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""开关末影螨事件。紫水晶母岩有时候会生成被附身的末影螨。\""]}}]"
"&bAmethyst Golems&r can be summoned using a &6Ritual of Awakening&r while near &6Budding Amethyst&r.","&b紫晶傀儡&r可以通过在&6紫水晶母岩&r旁施展&6启蒙仪式&r召唤。"
"Now that we've reached this far, up to spawning a bound Foliot, it's best that you continue by following the &bDictionary of Spirits&r.","既然我们已经走到这一步了，在生成一个绑定的魔精之前，您最好还是继续遵从&b魔灵全典&r"
"There are a ton of parts to mix and match; &6experiment and find what's best for you&r!","有一堆零件可以组合和匹配；&6你可以自己实验，然后找到最适合的东西&r！"
"SAWMILL! SAWMILL!","锯木厂！锯木厂！"
"Bamboo spikes are one of the earliest autokiller methods. They do not kill as a player would but they can be tipped with potions for added effects. Cheap and effective!","竹刺是最早期的自动屠宰解决方案之一。虽然它们不会像玩家那样去杀死怪物，但是你可以给这些竹刺添加药水效果来实现宰杀目的。便宜且高效！"
"Donk Null","Donk Null"
"Make a Mechanical Saw","制作动力锯"
"The &bPocket Dimension Backpack&r is a technological marvel. It creates a portable hole into another dimension to store your things.","&eTechnobauble&r模组的&b口袋维度背包&r可以在另一个维度上创建一个便携式洞口来存放物品"
"Enchanted Filters","附魔过滤器"
"These can be used to craft various Overworld Resources like Gunpowder, Rotten Flesh and Arrows","可以用来制作各种主世界资源，如火药、腐肉和箭"
"Sneak click the minigun to insert up to 4 Minigun ammo boxes. Minigun Ammo can be combined with a potion to apply its effects on hit. ","潜行右击机枪，最多可插入4个机枪弹药箱。机枪弹药可与药水结合，在命中时发挥药水的效果"
"Various &6Spores&r may be obtained from Sifting.","可以通过筛子获取各种&6孢子&r。"
"Infinity Tools","无限工具"
"The &bVortex Tube&r uses compressed air to &6make one side cold and the other side hot&r.","&b涡流管&r利用压缩空气&6产生温差，一侧为低温，一侧为高温&r"
"for the schematic cannon.","用于蓝图加农炮"
"Multiple Scrolls can be placed in the same block.","多个卷轴可以放置在同一个方块中。"
"Heavy fuels can be cracked into lighter ones. This means &6Diesel&r can be turned into &6Kerosene&r, which in turn into Gasoline and then further into LPG.","重燃料可以裂解成轻燃料。意思是你可以把柴油变成&6煤油&r，然后进一步裂解成汽油和液化石油气"
"Liquid Brine goes into an &bElectrolytic Seperator&r to give you sodium and chlorine gas. ","液态盐水输入&b电解分离机&r，产生钠蒸汽和氯气"
"[\""\"",{\""text\"":\""Ponder on the SPS Port, or \""},{\""text\"":\""click here\"",\""color\"":\""light_purple\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/create ponder mekanism:sps_port\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""/create ponder mekanism:sps_port\""]}},{\""text\"":\"" to see how it's constructed.\""}]","[\""\"",{\""text\"":\""在超临界移相器端口上查看思索,或者 \""},{\""text\"":\""点这里\"",\""color\"":\""light_purple\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/create ponder mekanism:sps_port\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""/create ponder mekanism:sps_port\""]}},{\""text\"":\"" 查看如何建造.\""}]"
"Mystical Storage","神秘存储"
"Moulding your future","铸造你的未来"
"You can use Bone Meal (or equivalents) to speed the process up. It may be worth looking in to automating farms as well.","你可以使用骨粉（或其他等价物）来加速生长过程。也许值得考虑去做一个自动化农场。"
"Sifting for treasures","筛中寻宝"
"You'll want to &lprioritize getting food&r as the hand crank can consume quite a bit of hunger! We've given you some but you should setup an auto fisher and work towards a wheat farm once you get some &bPasture Seeds&r to make grass. ","你可能得&l先弄点吃的&r，因为手摇曲柄会消耗大量饱食度！我们会给你一些，但一旦你得到&b草籽&r并培育出草方块，你就应该搞一个自动钓鱼机和小麦农场。"
"This simple &bMagnet&r &6pulls in nearby items&r.","这个简单的&b磁铁&r能够&6牵引附近的物品&r。"
"Infusing Iron with elemental water will produce &bDrenched Iron&r, which is more malleable and receptive to elemental tinkering.","使用元素水注入钢锭就会生成&b浸润铁锭&r，其可塑性更强，更容易接受元素修补"
"&cFlame Plate&r - Damages the Entities with Fire Damage","&c火焰板&r——对实体造成火焰伤害"
"This Quest will let you toggle them individually.","这个任务可以让你自主切换。"
"• &6Exporting&r - what goes out of the Pedestal","• &6输出&r——基座输出"
"These need to be placed in a certain distance of eachother to Shrinkify multiblocks into machines and other blocks and items.","它们需要以特定距离摆放，才能将多方块缩小为机器、其他方块或物品。"
"Different types of enemies will drop different shard types depending on the type of creature. You also get a chance for powerful shards to drop if they are killed directly by a player. ","不同种类的敌人会掉落相应的碎片类型。如果它们被玩家直接杀死，将有几率掉落高能碎片。"
"I'ts A No Brainer...","不费吹灰之力…"
"If you wish to proceed with getting lava in the Mixing Cauldron, you will need 2 buckets of blood, so that the conversion of the first bucket of blood with the 8 stone, produces 1 rock, the second bucket is then converted to Lava.","如果你想在混合锅中获取熔岩，需要两桶血液。用8个石头转化第一桶血液，产生1个石子，第二桶血液就会转换成熔岩。"
"The &bDissolution Chamber&r allows you to &6craft items together with fluid&r to make something new.","&b化学溶解室&r可以将物品&6与流体一起&r制作新物品"
"Animal Husbandry","动物饲养"
"Once you have the power of, well, power, You can use it on the &bPowered Centrifuge&r to more quickly process your combs.","当你拥有了能量，您可以在&b动力离心机&r中更快地处理您的蜜脾"
"Pre-flight Check List","飞行前的检查"
"Liquid Lasers","流体激光"
"&eIron Chests&r adds several tiers of &bChests&r, each holding more than the last.","&e更多箱子&r模组添加了几个等级的&b箱子&r，升一级等级都会多一些容量。"
"Good Ol' Vanilla","原版也超棒"
"• In offhand, &6sneak right-click&r to cycle through the types (item, fluid, etc)","• 在副手时，&6潜行右击&r切换类型（物品、流体等）"
"Occasionally, a &6Wandering Trader&r may make their way to your island (Or can be summoned). ","&6流浪商人&r偶尔会来到你的岛屿。"
"And my axe!","还有我的斧子！"
"It has pockets!","它有口袋！"
"Magical Manual","魔法手册"
"&eTetra&r is a very powerful &6modular tool and weapon crafting mod&r.","&eTetra&r是一种非常强大的&6模块化工具、武器制作模组&r。"
"The &bAssembly Line&r is a multiblock machine allowing the crafting of precision recipes. All parts of the assembly line must touch and pressure needs to be provided to the controller. Additionally, a &bprogram must be inserted&r into the assembly controller. Most recipes will use the laser program but the drill as well as the combination drill and laser are needed for some.","&b装配线&r是多方块机器，可以制作精密配方。所有装配部件都必须互相接触，并且需要向控制器提供压力。此外，还必须在装配机控制器中插入一个程序。大多数配方将使用激光程序，但也有一些配方需要使用钻孔机以及钻孔机和激光机的组合"
"Overheating","加热"
"The process also requires some amount of gem dust which is obtained when dropping an anvil on gems. ","这个过程还需要一些宝石粉，可以用铁砧砸宝石获得。"
"Overheating","加热"
"&bReinforced Stone&r is our entry into &6Pneumaticcraft&r. ","&b强化石&r是我们开始气动工艺的起点"
"Vector Plates","向量板"
"[\""\"",\""Wandering Trader            \"",{\""text\"":\""[ Toggle ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:wandering_trader\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Toggles the Wandering Trader. Has a chance to spawn a custom Wandering Trader with various trades!\""]}}]","[\""\"",\""流浪商人　　　　　　　　　　　　　　\"",{\""text\"":\""[ 开关 ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:wandering_trader\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""开关流浪商人事件。有几率生成一只有各种自定义交易的流浪商人！\""]}}]"
"The &bSalvaging Table&r will allow you to break down rarity material into a lower tier or get gem dust.","&b回收台&r可以将稀有材料分解为下级材料或宝石粉。"
"MekaSuit","Meka套装"
"They have to be placed 2-5 blocks away, and have to aim at the floating Matrix above the base. More than one can be installed.","它们必须放置在2-5个方块之外，而且必须瞄准基座上方的浮动矩阵。可安装多个"
"Enough water for fusion?!","足以用来核聚变的水？！"
"Make an Element Binder","制作元素聚合器"
"Ice is Nice!","冰冰爽爽！"
"Click on a Pipe connection to toggle it, or to make it pull from the Container it's on.","点击导管连接可切换它的模式，或使它从其所在的容器中输出元素"
"Circuits are a complicated manner. To create a &bCircuit Backplane&r we first need to work the &6Duroplast Sheet&r with some &6Copper Sheets&r ","电路是一种复杂的。要制作电路板，我们得先做一些&6工程塑胶板&r和&6铜板&r。"
"Shiny Blue things","闪亮的蓝色玩意"
"Don't spill your Waste!","别扔掉你的废料！"
"Assembly Line","装配线"
"Normally, you'd find these hidden deep underground, but that's not really an option here. Instead, &6purchase one from a Tier 5 Armorer Villager&r. Place a Blast Furnace to set the Villager's profession.","通常，你会在地下遗迹里发现隐藏的锻造锤，但这并不是一个好选择。从5级盔甲村民那里购买一个会更方便。你可以放置一个高炉来让村民转职。"
"The &bFusion Reactor&r is a rather complex multiblock, capable of generating extremely high amounts of FE.","&b聚变反应堆&r是一个相当复杂的多方块结构，可以产生极高的FE。"
"Pure Protection","至纯保护"
"Tier 2 adds 512 slots.","2级添加了512格"
"There's one in the &6Akashic Tome&r that you spawned with.","你出生自带的&6阿卡什宝典&r中就有一个。"
"&6Starbuncles&r naturally appear in wooded areas in search of golden nuggets. ","&6星宝石兽&r会自然生成在树林生态群落并寻找金粒"
"First, craft the Tool by surrounding an &bEnchanting Apparatus&r with the required items on &bArcane Pedestals&r then insert a &6Gold rod&r into the &bEnchanting Apparatus&r","要合成该工具，首先要在&b附魔装置&r周围的&b奥术基座&r放置所需的物品，然后使用&6金棒&r右击&b附魔装置&r"
"If the Amplifier is &6not emitting&r the laser, other laser inputs are directly converted to stored FE. You can &6extract&r this with a Universal Cable configured to Pull. Other mods' cables will not work.","如果增幅器&6不发射&r激光，其他激光的输入会直接转换存储为FE。你可以用配置为“抽取”的线缆&6提取&r能量。其他模组的线缆不会有用。"
"Hoglins are natural spawns in crimson forest biomes in the nether.","猪灵在下界的绯红森林生物群系中自然生成。"
"The Final (Fron)Tier","终极等级"
"Upgrade Modification","升级修改"
"&6Wood&r and &6Stone Hammers&r are tier 1 and tier 2 Hammers respectively, but can be crafted directly.","&6木锤&r和&6石锤&r是一级和二级锤子，可以直接制作。"
"The &bInduction Furnace&r is used to &6combine materials into alloys&r.","&感应炉&r用于&6将材料制成合金&r。"
"No soggy bottoms here","这里没有湿底"
"Underground, you can find &6Desh Ore&r, which is integral to progression.","你可以在地下找到&6戴斯矿石&r，这是继续进行星际探索的必要部分"
"Getting Baked","烘焙时间"
"The &bCorporea Retainer&r is placed next to a Corporea Interceptor and will remember if the Interceptor... intercepts. If it gets a signal after this, it will forget and the thing that requested the Interceptor's item will request it again.","&b多媒体固定器&r放在多媒体拦截器旁边，它就能记得拦截器…是否拦截。如果在此之后收到信号，它就会遗忘状态，而拦截器拦截的请求就会重新请求"
"Make a Cooking Pot","制作厨锅"
"Steel Casings at last!","最终的钢质机壳！"
"This will cause a &6permanent portal&r to the location bound by the Scroll.","这会生成一个前往卷轴绑定位置的&6永久传送门&r。"
"Upon entering the Nether, the Eye of Legend will automatically transform into the &bNether Eye of Legend&r!","进入下界后，传奇之眼会自动转化为&b下界传奇之眼&r！"
"To get started, throw some glowstone in the fire to convert it to soul powder. If you're having trouble finding glowstone, checkout the endless witch gateway pearl. ","要迈出第一步，你可以往火里扔一些荧石来将其转化为灵魂粉。如果你找不到荧石，请查看无尽女巫之门珍珠。"
"II - Getting on Up","II - 开始"
"A &6Starbuncle&r will drop its charm when Dispelled or when killed. ","&6星宝石兽&r被杀死或施予解除魔法时会掉落其护符。"
"Andestined for greatness","伟大安山"
"Super Sentai","超级战队"
"Functional Upgrades","功能升级"
"Ex Nihil","无中生有"
"There are also multiple upgrade &6Runes&r that will enhance its effects:","多种升级&6符文&r可以增强它的效果："
"Pneumatic Armor, though it has fairly low defense at the start, can be extensively upgraded. These upgrades can give it more armor, toughness, speed, flight, nighvision and more! The Chestpiece can also be upgraded to charge all of your pnuematic devices.","气动盔甲虽然一开始的防御力相当低，但可以进行广泛的升级。这些升级可以让它拥有更多的盔甲、韧性、速度、飞行能力、夜视能力等等！胸甲还可以升级，为所有气动装置充气"
"Might be worth a shot to check them out!","也许它们值得瞅一瞅！"
"Don't waste diamonds on...","别把钻石浪费在……"
"Specify the mob by inserting a filled &bMob Imprisonment Device&r.","放入一个已捕获生物的&b生物捕获工具&r指定生物"
"Anvils","铁砧"
"Using a &6Manasteel Mesh&r will get everything an Andesite Mesh can.","安山合金筛网能筛出来的东西&6魔力钢筛网&r都能筛出来。"
"[\""\"",\""Crow                             \"",{\""text\"":\""[ Toggle ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:crow\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""Toggles the Crow Event. Has a chance to spawn a Crow on nearby grass.\""]}}]","[\""\"",\""乌鸦　　　　　　　　　　　　　　　　\"",{\""text\"":\""[ 开关 ]\"",\""bold\"":true,\""color\"":\""gold\"",\""clickEvent\"":{\""action\"":\""run_command\"",\""value\"":\""/events toggle ftbskies:crow\""},\""hoverEvent\"":{\""action\"":\""show_text\"",\""contents\"":[\""开关乌鸦事件。有几率在周围的草地上生成乌鸦。\""]}}]"
"Now that you have a Petal Apothecary, you're ready to make a &bPure Daisy&r. ","现在你有了花药台，已经准备好制作一个&b白雏菊&r了。"
"Waterlogged Sand → Andesite Mesh","浸水沙子 → 安山合金筛网"
"You can make a compacted variant of dirt, cobblestone, and gravel, that will give full blocks instead of rocks and clumps of soil by throwing 9 cobblestone or 9 dirt into a basin, and using a mechanical press to press them together.","你可以做一个压缩版本的泥土、圆石和砂砾，将9个圆石或9个泥土扔进工作盆中，再使用机械冲压将其压缩成1个方块。"
"The three types of &bRange Addon&r make machines &6work faster&r, in three separate ways.","三种类型的&b速度升级插件&r可以让机器&6工作得更快&r，分别是有三种不同的方式"
"Brainblast!","脑力大爆炸！"
"Isn't it weird to think that everything is so unstable?","一切都如此不稳定，这不是很奇怪吗？"
"Going Out with a Bang","出门就是一声Bang"
"&bWork Locations&r are set by right-clicking blocks in the world. Clicking air will clear the Upgrade.","右击世界中的方块可以设置&b工作位置&r。右击空气清除"
"&bReinforced Integral Components&r will make your machines even faster.","&b强化整合组件&r可以让你的机器更快。"
"The faster you are able to spin the generator, the more FE it will generate. Higher tier magnets provide more resistance however and require greater amounts of SU to operate. You can stack up to 8 coils in a line in this way and extract power from them all at once.","发电机旋转得越快，产生的FE就越多。不过，越高级别的磁铁阻力就越大，需要更多的应力才能工作。通过这种方式，您最多可以堆叠8个线圈一起工作以提升效率"
"How to make custom spells","如何制作自定义法术"
"Spooky Scary Skeletons","恐怖惊悚骷髅头"
"It will also drop &bPrismarine Shards and Crystals&r.","&b海晶碎片和海晶沙砾&r也是能筛出来的。"
"Farm some End Mobs","养殖一些末地生物"
"Pack Developer","包开发者"
"Amethyst can be looted or traded from piglins. They can then be infused with elemental water magic to create springaline. ","紫水晶碎片可以从猪灵那里掠夺或交易。然后，为紫水晶碎片灌注水元素制造出春涌水晶"
"Scrolls","卷轴"
"Using Scrolls on Chests that are bound to the Storage Lectern will make prioritizing and sorting items quite trivial.","使用卷轴将箱子绑定到存储讲台，以便按优先级排序和整理琐碎物品。"
"An &6unfortunate limitation&r of this is that you can only request one at a time. You can rotate the Funnel's Item Frame to increase this, but it will still always craft that amount.","它有个&6不幸的限制&r，每次只能请求一个。您可以旋转漏斗的物品展示框以增加数量，但它仍然总是会制作这个数量"
"They have a special &6interaction with Crows&r: gathering Crows will take items to Coffers that contain that item if enabled in the Coffer.","其与&6乌鸦&r有一个&6特殊的互动&r：如果启用，乌鸦会把盒子内已存在的物品收集进去。"
"The &bDominion Wand&r is used to &6control Source Relays&r as well as &6automation-based summon creatures&r.","&b支配之杖&r用于&6控制魔源中继器&r和&6自动化召唤生物&r。"
"Advanced Beehives","高级蜂箱"
"&5Obitus Rune&r - Instakill","&5死亡符文&r——立即死亡"
"The Tier 3 Storage Module can hold 300 stacks.","3级存储模块可以容纳300组物品"
"&bBlack Hole Units&r store a massive amount of a single item. Higher tiers store more.","&b黑洞存储单元&r可以存储大量单种物品。等级越高存储越多"
"There are four ways to interact with a Pedestal:","有四种方式可以与基座互动："
"Looks Like You Have A Bone To Pick With These Guys.","看起来你从这些家伙身上挑出一根骨头。"
"Tier 4 adds 2048 slots.","4级增加了2048格"
"Powering Up!","充能！"
"Using the &bCrystalizer&r, various Dusts can be processed back into their original form. ","使用&b结晶器&r，各种水晶粉都可以加工回原来的形态"
"Enable Centipede Spawn","启用蜈蚣生成"
"Farming with Plants","植物耕种"
